Unnamed: 0,French,English
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,frère,brother
10,laisser,let
14,ville,city
16,parlé,speak
17,arrivé,come
20,longtemps,long time
22,vont,will
23,pendant,while
25,aucune,any
27,parle,speak
28,compris,understood
29,savais,knew
31,attention,Warning
32,voici,here is
33,pourrais,could
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,train,train
41,endroit,place
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
50,côté,side
51,pouvoir,power
52,vieux,old
55,tellement,so much
57,point,point
58,venu,came
59,suite,after
62,devant,in front of
63,vers,towards
64,minutes,minutes
65,demandé,request
66,chambre,bedroom
67,mis,placed
68,belle,beautiful
69,droit,law
70,aujourd'hui,today
72,enfin,finally
73,espère,hope
74,eau,water
75,parti,left
76,boulot,job
77,arrêter,Stop
78,dirait,would say
79,terre,Earth
80,compte,account
81,donne,given
82,loin,far
83,fin,end
85,gros,large
86,plutôt,rather
88,filles,girls
89,jouer,to play
90,bureau,office
